Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
MORNINGSIDE DR,MORNINGSIDE DR,NORTH ROCK SPRINGS RD,61.0,72.69,62.26330838,Good
GREENLEAF CIR,IVYWOOD DR,GREENLEAF CIR,44.0,22.185,63.74788018,Poor
LUCILE AVE,LANGHORN ST,HOPKINS ST,62.0,77.5,68.2127136,Good
BURDEN ST,BUTLER WAY,EAST END,38.0,65.7,63.41339396,Fair
CAMDEN RD,MONTCLAIR DR,WAKEFIELD DR,61.0,71.57,65.93729732,Good
BOULEVARD,BERNE ST,BERNE ST,38.0,35.04,56.8489634,Poor
NORTH AVE,NORTH HIGHLAND AVE,SEMINOLE AVE,51.0,64.95,51.03236948,Fair
MELROSE DR,SYLVAN RD,BUCKEYE ST,56.0,72.1,77.74096537,Good
LANSING ST,THAYER AVE,BISBEE AVE,48.0,51.415,50.72577607,Marginal
THOMASVILLE CT,THOMASVILLE CT,THOMASVILLE CT,59.0,71.6,49.156,Fair
IVY LN NE,OLD IVY RD NE,DEAD END,45.0,70.52,84.85565362,Very Good
LENOX RD NE,JOHNSON RD NE,LENOX RD NE,57.0,58.895,38.64194853,Marginal
RALPH MCGILL BLVD,PEACHTREE ST,DOWNTOWN CONNECTOR,40.0,65.23,59.53501255,Fair
WATERS RD,BAKER DR,HAPEVILLE RD,64.0,65.7,60.14380066,Fair
DELOWE DR,CAMPBELLTON RD,WEST CEDAR LN,42.0,86.4,71.89509356,Very Good
MEADOWLANE PL SW,DEAD END,MEADOWLANE DR SW,66.0,61.505,60.530194,Fair
MILLS ST,LUCKIE ST,VENABLE ST,59.0,74.245,53.26599937,Good
WYLIE ST,CLEVELAND ST,MORELAND AVE,65.0,42.305,49.42304308,Poor
ELYSIAN PARK SW,ELYSIAN DR SW,DEAD END,54.0,64.2,53.07279166,Fair
DODSON DR,WOODLAND TER,MILL ACRES DR,64.0,74.37,76.0227379,Good
BRADDOCK ST,BREWER BLVD,EAST END,64.0,61.885,76.62447192,Good
LUCILE AVE,GREENWICH ST,LAWTON ST,49.0,43.635,45.7521218,Poor
JONES AVE,WALNUT ST,MAPLE ST,52.0,83.32,64.70844,Very Good
OAK ST,CULBERSON ST,PEEPLES ST,65.0,57.66,56.42103709,Fair
WALDO ST,KILLIAN ST,ROSALIA ST,58.0,36.945,46.40142031,Poor
GLENWOOD AVE SE,BERNICE ST SE,LAKE BLVD,54.0,42.6,55.33622795,Marginal
CHIPLEY ST,HUTCHINSON ST,MAYSON AVE,56.0,86.5,67.74375,Very Good
WIEUCA RD,PEACHTREE RD,WIEUCA RD,44.0,70.8,62.18254107,Good
MARION ST,MCDONOUGH BLVD,FEDERAL TER,56.0,58.645,62.95406978,Fair
FERGUSON ST,DEKALB AVE,IVERSON ST,42.0,61.8,68.9631252,Fair
SYLVAN PL,SYLVAN RD,BRANDYWINE ST,64.0,72.1,77.74096537,Good
SHARONDALE CT NE,SHARONDALE DR NE,DEAD END,46.0,68.3,49.28381638,Fair
ARGYLE DR,BESTO DR,BARRETT DR,43.0,46.47,60.05092755,Marginal
LOTUS AVE,VIOLET AVE,LOTUS AVE,67.0,50.89,77.78563315,Fair
MOUNT ZION RD,EMBRY WAY,MOUNT ZION RD,64.0,82.8,89.12937745,Very Good
HOPKINS ST,OAK ST,LATHAM ST,64.0,50.755,43.72790605,Marginal
BLYSS AVE,CHAPPELL RD,ELBRIDGE DR,52.0,77.87,78.86371902,Very Good
DALE CREEK DR,COLLIER RIDGE DR,CHILTON DR,60.0,82.9,76.38253547,Very Good
CATHERINE ST,MAYLAND AVE,METROPOLITAN PKWY,51.0,74.0,71.165672,Good
ROLLING GREEN RDG,HERITAGE VALLEY RD,GLEN VIEW DR,67.0,75.0,66.49128646,Good
ELBRIDGE DR,BLYSS AVE,DONALD LEE HOLLOWELL PKWY,40.0,31.745,58.79184844,Poor
ARGONNE AVE,PONCE DE LEON AVE,3RD ST,45.0,61.115,40.50840266,Marginal
GREENBRIAR TRL,SHERRIE LN,COUNTY LINE RD,38.0,76.42,67.30538463,Good
SANTA BARBARA DR,SANTA MONICA DR,BAKER RD,37.0,25.0,65.1118039,Poor
COURTLAND ST,COURTLAND ST,JOHN WESLEY DOBBS AVE,51.0,80.4,66.90899395,Very Good
1ST ST,MEMORIAL DR,SUTTON ST,44.0,65.99,62.8629239,Fair
HOGAN RD,TEJAS TRL,THE FONTAINEBLEAU,52.0,57.635,53.51750259,Fair
SIZEMORE AVE NW,GUN CLUB RD NW,ALVIN DR NW,38.0,44.77,58.85702402,Marginal
WALNUT ST,BECKWITH ST,MITCHELL ST,65.0,79.5,60.39375,Good
NORTH FULTON DR,BUCKHEAD AVE,EAST PACES FERRY RD,66.0,97.6,88.8192,Excellent
FAITH AVE,FAITH AVE,LEWIS LN,64.0,83.3,66.11165422,Very Good
WESTCHESTER BLVD,CHICAGO AVE,DETROIT AVE,42.0,36.4,49.87322439,Poor
BOULEVARD,EAST AVE,RALPH MCGILL BLVD,50.0,76.82,56.93119,Good
DUMBARTON RD NW,DUMBARTON RD NW,DEAD END,51.0,73.8,63.85540714,Good
MOUNTAIN DR,ARDEN WAY,NORTH IVY RD,57.0,98.1,89.25995,Excellent
MAYFLOWER AVE,CASCADE AVE,OCALA AVE,51.0,40.055,79.19567113,Marginal
25TH ST,ALDEN AVE,25TH ST,60.0,77.0,61.94950307,Good
BRENTWOOD TER,PINE TREE DR,BRENTWOOD DR,50.0,67.2,41.544,Fair
JAMES P BRAWLEY DR,JETT ST,CAMERON M ALEXANDER BLVD,43.0,70.24,65.83805339,Good
WARREN ST,DELANO DR,TROTTI ST,62.0,43.315,64.73252721,Marginal
COLLIER RD,DEFOOR HILLS RD,DEFOOR AVE,52.0,94.9,84.66795,Excellent
COLLIER DR,CHALMERS DR,COLLIER RIDGE DR,65.0,66.38,77.2514414,Good
JONES AVE,JOHNSON RD,LOIS PL,47.0,53.99,37.54369874,Marginal
GREYSTONE PARK,PIEDMONT RD,EAST END,40.0,47.685,53.84882039,Marginal
CASCADE AVE,ORLANDO ST,HAVILON DR,38.0,76.96,60.34213566,Good
WHITEHALL TER,SE END,WHITEHALL ST,45.0,55.98,57.5371674,Fair
HUNNICUTT ST,LUCKIE ST,MCAFEE ST,58.0,63.22,66.77301648,Fair
ROCKMART DR NW,BURBANK DR NW,DEAD END,60.0,27.5,73.69869828,Poor
DUNNING ST,DUNNING ST,LINAM ST,59.0,71.43,52.87379102,Good
DOLLAR MILL RD,DOLLAR MILL WAY,UTOY CIR,61.0,60.5,63.7969276,Fair
GRIFFIN ST,CARTER ST,MAGNOLIA ST,41.0,46.195,46.40995239,Marginal
COLEMAN ST,ARTHUR ST,MARY ST,55.0,77.3,67.30538463,Good
MONTROSE AVE,DELOWE DR,BOULEVARD LORRAINE,50.0,82.4,63.736,Very Good
FAYETTEVILLE RD,BOULDERCREST DR,BRANNEN RD,48.0,87.9,68.91975,Very Good
OLD FLAT SHOALS RD SE,DEAD END,PEARL ST,52.0,32.6,60.80376647,Poor
LONGLEAF DR,CONIFER CIR,PHIPPS BLVD,48.0,54.105,61.88774862,Fair
NORTH HIGHLAND AVE,ALBION AVE,COLQUITT AVE,49.0,71.92,61.24554333,Good
NORTH HIGHLAND AVE,ALBION AVE,COLQUITT AVE,49.0,71.92,61.24554333,Good
BILL LUCAS DR,HANK AARON DR,FRASER ST,47.0,36.435,46.34089652,Poor
MONROE DR,ARMOUR DR,MONROE PL,67.0,25.785,18.35420389,Very Poor
THURMOND ST,MAPLE PL,NORTHSIDE DR,51.0,51.97,44.97037563,Marginal
HOWELL ST,OLD WHEAT ST,IRWIN ST,55.0,49.785,58.83215098,Marginal
PARK AVE,ROSALIA ST,HANSELL ST,45.0,74.695,89.89727244,Very Good
DUNNING ST,LINAM ST,FERN AVE,64.0,71.43,52.87379102,Good
WEDGEWOOD DR,SAINT PETERS AVE,SAINT JAMES AVE,38.0,61.57,61.24299954,Fair
MOUNTAIN DR,ARDEN WAY,NORTH IVY RD,66.0,58.835,48.92286968,Fair
FREEMONT ST,STERLING ST,LA QUITA DR,49.0,25.905,60.13502851,Poor
COURTLAND ST,HARRIS ST,BAKER ST,61.0,37.185,26.90575859,Poor
MOUNT PARAN RD,PARIAN RIDGE RD,PARAN GLEN RD,46.0,40.345,45.57655433,Poor
WEST WESLEY RD,PLYMSTOCK LN,RIDGEWOOD RD,46.0,20.79,50.09998963,Poor
NORTHSIDE DR,EAST CONWAY DR,NORTHSIDE CHASE,63.0,77.2,75.76735873,Very Good
REGENCY CENTER DR,STRATON TRCE,NW END,51.0,27.9,43.59205162,Poor
KENNEDY CT,KENNEDY CT,KENNEDY CT,63.0,78.9,59.64975,Good
WILDWOOD RD,PINE RIDGE DR,WELLBOURNE DR,57.0,60.985,65.61851371,Fair
PEEPLES ST,OGLETHORPE AVE,RALPH DAVID ABERNATHY BLVD,57.0,28.8,57.60315264,Poor
FLAT SHOALS AVE,MCPHERSON AVE,NW END,60.0,69.19,52.15141775,Fair
MONTEVISTA ST,ROGERS AVE,WESTWOOD AVE,43.0,66.185,74.15132443,Good
CHEROKEE AVE,NARROW ST,WOODWARD AVE,57.0,74.0,85.06955788,Very Good
BRENNAN LN,ROGERS AVE,WESTWOOD AVE,54.0,30.7,61.97537834,Poor
DESOTO AVE,GENESSEE AVE,DILL AVE,51.0,55.72,64.40994428,Fair
FREDERICA ST,GREENWOOD AVE,DREWRY ST,51.0,56.5,59.59885967,Fair
ELKMONT DR,BROOKRIDGE DR,BROOKRIDGE DR,59.0,65.86,53.96491482,Fair
WASHITA AVE,NORTH HIGHLAND AVE,SINCLAIR AVE,65.0,42.035,60.55575078,Marginal
EDGEWOOD AVE,FORT ST,HILLIARD ST,58.0,34.325,57.06581755,Poor
HOLLYDALE CT,DYKES DR,BLANTON RD,48.0,68.92,71.57774872,Good
FAYETTEVILLE RD SE,ALEXANDER AVE,TERRY MILL RD SE,65.0,60.595,70.54800891,Fair
EUGENIA ST,COOPER ST,FORMWALT ST,61.0,75.63,55.2785775,Good
ELBERT ST,ALLENE AVE,MAYLAND AVE,60.0,75.07,84.22019697,Very Good
11TH ST,WEST PEACHTREE ST,PEACHTREE WALK,38.0,50.51,48.37199558,Marginal
CHARLES ALLEN DR,7TH ST,CHARLES ALLEN DR,58.0,67.94,42.89191,Fair
MOUNT PARAN RD NW,MONTWICKE CHASE NW,MILLBROOK DR,63.0,59.49,35.76278743,Marginal
NORTH HIGHLAND AVE,BRIARCLIFF PL,DREWRY ST,48.0,63.835,69.21002239,Good
SUNSET AVE,MELDRUM ST,NORTH AVE,59.0,58.96,60.71804515,Fair
MCWILLIAMS AVE,GLENWOOD AVE,METROPOLITAN AVE,45.0,73.25,77.52385463,Good
MARKET ST,16TH ST,17TH ST,44.0,54.355,63.09887129,Fair
NEAL ST,GRIFFIN ST,SUNSET AVE,55.0,73.4,68.12003339,Good
BROWNLEE RD,BENJAMIN MAYS DR,CEDAR ISLAND DR,64.0,38.7,67.89596936,Marginal
PACES FERRY RD,WOOD VALLEY RD,PACES VALLEY RD,64.0,83.5,64.89375,Very Good
BEECHER RD,HIGHVIEW RD,EDGEWATER DR,64.0,66.25,84.19281736,Good
PARKSIDE DR,POTOMAC AVE,LAKEVIEW AVE,50.0,83.5,64.89375,Very Good
KNOX ST,LANNON AVE,EAST END,43.0,30.525,26.0816209,Very Poor
SOUTH EVELYN PL,MADRONA ST,IRELAND PL,46.0,63.22,62.07536254,Fair
PRYOR RD,REYNOLDS DR,SAINT JOHNS AVE,47.0,64.5,65.61851371,Fair
PENDLETON ST,BROWNWOOD AVE,GRESHAM AVE,54.0,65.34,51.82893731,Fair
WOODLAND AVE,KNOTT ST,VICKERS ST,65.0,73.32,59.46322286,Good
KENLOCK PL,BROOKWOOD DR,FORREST WAY,63.0,77.1,75.22322738,Very Good
CULBERSON ST,OAK ST,NORTH END,62.0,57.66,56.42103709,Fair
LE CONTE HIGHWAY,BAKERS FERRY RD,CLEMENT DR,45.0,48.68,63.99876985,Marginal
WHITTIER AVE,MACO ST,MACAW ST,63.0,75.52,55.12224,Good
BROWNS MILL RD,MOUNT ZION RD,SPRINGSIDE DR,46.0,67.875,68.91925458,Good
BROOKS AVE,DEKALB AVE,MCLENDON AVE,40.0,59.75,38.56363778,Marginal
WOODHAVEN RD,WEST PACES FERRY RD,TUXEDO RD,49.0,84.22,91.73466421,Excellent
BLUFF ST SW,WELLS ST SW,TIFT ST SW,52.0,52.91,66.19081621,Fair
HABERSHAM RD,PIEDMONT RD,OLD IVY RD,66.0,56.88,73.66459881,Fair
LAMPKIN ST,JOHN WESLEY DOBBS AVE,NORTH END,66.0,13.47,43.25253895,Very Poor
EAST CONWAY DR,TWIN SPRINGS RD,RUNNEMEDE RD,66.0,59.425,56.47408462,Fair
CRUMLEY ST,FORMWALT ST,PRYOR ST,66.0,26.075,47.39942777,Poor
SOUTH GORDON ST,WESTWOOD AVE,WESTMEATH DR,66.0,74.92,65.74938572,Good
TWILLEY RD,BAKER TER,COMMODORE DR,56.0,61.635,59.82207736,Fair
REEDER CIR,BONNIE LN,EAST END,46.0,45.47,56.59225669,Marginal
BURGESS ST,MEMORIAL TER,BURGESS ST,48.0,62.1,46.32472507,Fair
PLAINVILLE CIR,PLAINVILLE TER,PLAINVILLE DR,67.0,73.8,52.599,Good
COOPER ST,EUGENIA ST,NORTH END,64.0,75.63,55.2785775,Good
FLAT SHOALS RD,FLAT SHOALS WAY,PAOLI AVE,47.0,62.16,62.32097758,Fair
CENTER HILL AVE,SOUTH END,BAKER RD,63.0,88.3,85.60937714,Excellent
GLENWOOD AVE SE,ASHBURTON AVE,ASHBURTON AVE,67.0,68.71,79.46082669,Good
GLENN ST,GARIBALDI ST,WINDSOR ST,52.0,50.42,70.30696631,Fair
WILLIAM NYE DR,MEADOR AVE,EAST END,61.0,43.555,55.90985961,Marginal
PONTIAC PL,WELLSWOOD DR,FISHER RD,46.0,40.705,54.75240274,Marginal
ORKNEY LN SW,TARTAN LN SW,LOCH LOMOND TRL SW,67.0,67.29,59.25915132,Fair
DE LEON ST,ADAIR AVE,VIRGINIA CIR,67.0,75.0,66.28536314,Good
MCPHERSON AVE,MORELAND AVE,FLAT SHOALS AVE,44.0,90.4,71.1072,Very Good
WARD DR,RUZELLE DR,OAK DR,55.0,36.575,63.39798564,Marginal
GLENN ST,TERRY ST,MARTIN ST,50.0,65.2,56.68054284,Fair
5TH ST,WEST PEACHTREE ST,CYPRESS ST,64.0,60.985,85.93680052,Good
MARY ST,SIMS ST,HUBBARD ST,51.0,58.85,65.59772888,Fair
HILL ST,CHEROKEE PL,NORTH END,63.0,52.85,54.96501696,Marginal
SAVILLE ST,WELLINGTON WALK,TINSLEY WAY,65.0,79.27,71.16182563,Very Good
SPRING ST,HARRIS ST,BAKER ST,50.0,49.685,32.71016853,Poor
HOWARD CIR,MCLENDON AVE,DEKALB PL,44.0,62.09,42.99097388,Fair
ARKWRIGHT PL,MORTIMER ST,BATTLEFIELD AVE,37.0,73.27,51.7916775,Good
CONNALLY ST,ORMOND ST,SOUTH AVE,67.0,68.605,54.1341045,Fair
EAST CLUB LN,LAKEHAVEN DR,EAST BROOKHAVEN DR,59.0,61.9,68.71343745,Fair
ORMOND ST,DOWNTOWN CONNECTOR,CREW ST,65.0,40.0,63.55701717,Marginal
UPSHAW ST,ARTHUR LANGFORD JR PL SW,AIKEN ST,47.0,84.4,84.05998174,Very Good
THE PRADO,THE PRADO,WESTMINSTER DR,46.0,44.635,70.06384484,Marginal
MCCLURE AVE NW,BURBANK DR NW,EASON ST,50.0,55.655,41.06550784,Marginal
BRIDGES AVE,LOMA LINDA ST,VIOLET ST,44.0,76.3,56.21775,Good
MONTGOMERY FERRY RD,POLO DR,FLAGLER AVE,40.0,65.305,51.40039968,Fair
PEEPLES ST,PARSONS ST,PALMETTO AVE,41.0,71.08,50.42940172,Fair
HOSEA L WILLIAMS DR,ROCKY FORD RD,LAKEVIEW AVE,56.0,76.19,75.22808703,Very Good
KIMBERLY RD SW,CITY LIMITS,MELVIN DR,40.0,54.7,74.07492955,Fair
KIMBERLY RD SW,CITY LIMITS,MELVIN DR,40.0,54.7,74.07492955,Fair
ABNER TER,AJAX DR,MARY GEORGE AVE,55.0,85.4,66.751,Very Good
KINGSWOOD LN,NORTHSIDE DR,QUEENSBURY LN,57.0,70.59,47.4942975,Fair
SOUTH PRADO,WALKER TER,THE PRADO,44.0,29.035,49.02671273,Poor
KIMBERLY RD SW,CITY LIMITS,MELVIN DR,40.0,54.7,74.07492955,Fair
KIMBERLY RD SW,CITY LIMITS,MELVIN DR,40.0,54.7,74.07492955,Fair
CAMERON M ALEXANDER BLVD,OLIVER ST,PAINES AVE,39.0,81.0,62.175,Good
LINKWOOD RD,MARTIN LUTHER KING JR DR,DELMAR LN,38.0,29.185,66.31318456,Poor
KIRKWOOD RD,DUNWOODY ST,DUNWOODY ST,48.0,68.56,76.52346175,Good
LAWSHE ST,GREENSFERRY AVE,LARKIN ST,47.0,49.17,49.29925869,Marginal
SYLVAN RD,LAKEWOOD AVE,ARTHUR LANGFORD PKWY,47.0,67.745,54.2164214,Fair
MARTIN LUTHER KING JR DR,PIEDMONT AVE,JESSE HILL JR DR,59.0,91.7,75.87755,Excellent
GARSON DR NE,PIEDMONT RD NE,PARKLAND DR,45.0,54.465,58.37528644,Fair
WOODLAND AVE,LENOX RD,EAST END,37.0,51.92,43.47137528,Marginal
EVANS ST,VICTORIA PL,OGLETHORPE AVE,62.0,46.665,56.81703783,Marginal
7TH ST,CYPRESS ST,PEACHTREE ST,56.0,47.3,48.24641046,Marginal
GERTRUDE PL,DONALD LEE HOLLOWELL PKWY,HORTENSE WAY,43.0,58.13,58.12396035,Fair
MEADOWDALE AVE,HOMESTEAD AVE,MEADOWDALE AVE,64.0,98.1,89.25995,Excellent
CHAPPELL RD,ADELE AVE,MARTIN LUTHER KING JR DR,59.0,71.0,66.1532961,Good
SOUTH AVE,CONNALLY ST,GRANT TER,57.0,83.695,66.20333185,Very Good
CHATTAHOOCHEE AVE,MARIETTA BLVD,OLD HILLS AVE,51.0,89.8,86.62766398,Excellent
CHESHIRE BRIDGE RD,LENOX RD,ALCO ST,59.0,38.545,66.61777513,Marginal
TRABERT AVE,PINE ST,MECASLIN ST,48.0,89.1,69.84975,Very Good
OGLETHORPE AVE,QUEEN ST,LAWTON ST,50.0,40.1,58.26699136,Marginal
CHAPPELL RD,MOZLEY PL,ADELE AVE,40.0,77.92,77.70653814,Very Good
KING JAMES DR,KING GEORGE LN,AUSTIN RD,38.0,76.54,72.45863299,Very Good
CHEROKEE AVE,ORLEANS ST,SYDNEY ST,49.0,78.4,59.016,Good
DEFOOR AVE NW,COLLIER RD NW,DEFOOR AVE NW,64.0,78.52,64.9493759,Good
SANTA MONICA DR,SANTA BARBARA DR,SANTA BARBARA DR,54.0,64.57,40.00500282,Fair
KENNEDY CT,GARY RD,KENNEDY CT,67.0,43.985,52.62312389,Marginal
LAFAYETTE DR,YONAH DR,BARKSDALE DR,47.0,11.135,43.32625514,Very Poor
THE PRADO,WESTMINSTER DR,BARKSDALE DR,,57.92,52.77130193,Fair
BURTON RD,WESTLAND BLVD,LAUREL CIR,59.0,46.375,73.00339106,Fair
ANGIER AVE,BOULEVARD,ANGIER PL,62.0,72.5,87.82544297,Very Good
SANTA FE TRL,SANTA ROSA DR,PUEBLO DR,48.0,26.4,61.66613051,Poor
BRASFIELD SQ,BRASFIELD SQ,GARRETT ST,60.0,66.9,57.1633848,Fair
25TH ST,25TH ST,STANDISH AVE,51.0,61.88,59.6472643,Fair
FORTUNE ST,FORTUNE PL,EAST AVE,50.0,38.35,44.18534224,Poor
AUSTIN AVE NE,SINCLAIR AVE,EUCLID AVE NE,45.0,58.835,38.99512688,Marginal
NORWOOD AVE,DELANO DR,ROBSON PL,58.0,59.945,42.46656656,Marginal
LAMON AVE SE,MEMORIAL DR SE,DEAD END,42.0,34.675,40.53965588,Poor
CLIFTON RD NE,GATEWOOD RD NE,HOUSTON MILL RD NE,51.0,90.0,70.5,Very Good
BIGLIN ST,WARNER ST,NORTH END,65.0,73.67,76.74607019,Good
STONE RD,NORTH CAMP CREEK PKWY SW,MEADOWRIDGE DR,38.0,26.32,78.20624641,Poor
MYRTLE ST,3RD ST,4TH ST,44.0,27.44,25.33692871,Very Poor
WINDSOR ST SW,WINDSOR ST SW,EUGENIA ST SW,42.0,55.905,64.15277178,Fair
MARCO DR,REVERE DR,AUDREY PL,65.0,71.2,72.27948228,Good
CASCADE RD,TUCKAWANNA DR,HARBIN RD,47.0,82.7,82.12405428,Very Good
ANGIER AVE,ARNOLD ST,GLEN IRIS DR,66.0,60.76,59.97500995,Fair
SHERIDAN DR,DELMONT DR,DELMONT DR,46.0,37.1,51.19275558,Poor
CLAUDE ST,SPINK ST,BRANTLEY ST,54.0,52.97,38.40610035,Marginal
DEFOOR AVE,DAVIS ST,MANTISSA ST,67.0,97.7,88.91555,Excellent
DRUMMOND ST,JOSEPH E LOWERY BLVD,PASCHAL BLVD,55.0,83.245,64.63074937,Very Good
HOGUE ST,OLD WHEAT ST,IRWIN ST,54.0,55.265,53.71345043,Marginal
WILLIS MILL RD,PRAIRIE VIEW DR SW,DEAD END,65.0,73.9,64.19652898,Good
LAKEWOOD AVE,ADAIR AVE,JONESBORO RD,62.0,35.835,59.2618888,Poor
LINDSAY ST,BANKHEAD AVE,WHEELER ST,51.0,31.225,32.13503281,Poor
WAVERLY WAY,EDGEWOOD AVE,EUCLID AVE,41.0,77.62,67.66897929,Good
SCOTT ST,MCCLURE AVE,ANDREWS ST,62.0,71.8,54.02143482,Good
CHESTER AVE,FULTON TER,HAROLD AVE,64.0,76.7,70.91987538,Good
RALPH DAVID ABERNATHY BLVD,MURPHY AVE,WELLS ST,49.0,83.47,64.8629775,Very Good
TOPAZ LN,PYRITE CIR,PYRITE CIR,65.0,66.64,58.51435593,Fair
CATHERINE ST,ALLENE AVE,LEXINGTON AVE,61.0,75.97,66.57583645,Good
INMAN ST,SELLS AVE,NORTH END,55.0,58.245,40.8585867,Marginal
ROCK SPRINGS RD NE,MONROE DR NE,ROCKRIDGE PL NE,60.0,46.13,55.57696673,Marginal
NORTH HILLS DR,BRENTWOOD DR,OLD DECATUR RD,52.0,65.08,55.16737645,Fair
TIFT AVE,GILLETTE AVE,HUGH ST,54.0,30.425,60.2334024,Poor
WAKEFIELD DR,MONTCLAIR DR,PARKDALE WAY,57.0,64.95,61.06960923,Fair
GUN CLUB DR,ALVIN DR,MACK DR,41.0,63.845,88.18586314,Good
PENELOPE RD,HELENA AVE,ANDERSON AVE,62.0,87.0,82.98550104,Excellent
BOULEVARD,CAIN ST,FREEDOM PKWY,55.0,77.8,74.52131627,Very Good
EAST LAKE DR,ARBOR AVE,HOSEA L WILLIAMS DR,63.0,68.88,59.95585679,Good
PARSONS ST,PEEPLES ST,ABBOTT ST,59.0,40.275,48.70706254,Poor
GLENWOOD AVE,CAMERON ST,HANSELL ST,67.0,28.1,39.22266415,Poor
MARKET ST NW,17TH 1/2 ST NW,18TH ST,67.0,65.535,59.56432587,Fair
TRABERT AVE,GROVELAND AVE,PINE ST,44.0,33.985,48.82368705,Poor
WYMAN ST,STANWOOD AVE,STANWOOD AVE,63.0,57.735,45.78280436,Marginal
NEW YORK AVE,CONNECTICUT AVE,CASSON ST,61.0,64.69,43.01080143,Fair
17TH ST NW,17TH ST,NORTHSIDE DR NW,55.0,40.585,59.32209586,Marginal
WHITE ST,AZALIA ST,JOSEPH E LOWERY BLVD,63.0,60.985,46.66402144,Fair
AUGUSTA AVE,AUGUSTA PL,CHEROKEE AVE,38.0,42.255,46.66402144,Poor
KILLIAN ST,CAMERON ST,EAST END,47.0,63.13,61.98203508,Fair
WEST AVE,SOUTH END,BOYKIN ST,51.0,50.235,51.97313019,Marginal
CHICAMAUGA AVE,FAIR ST,MOZLEY PL,57.0,71.71,68.02759795,Good
PINELAND RD,KING RD,PINEHILL PL,44.0,36.745,62.13504468,Marginal
MICHIGAN AVE,OLLIE ST,MAYSON TURNER RD,61.0,70.24,46.90656,Fair
HILL ST,ENGLEWOOD AVE,FARRINGTON AVE,59.0,74.3,54.17201078,Good
ANDREW YOUNG INTERNATIONAL BLVD,COURTLAND ST,PIEDMONT AVE,37.0,53.27,45.60915239,Marginal
OAKHILL AVE,LILLIAN AVE,GILLETTE AVE,46.0,55.2,58.74557509,Fair
DEAN DR,DEAN OVERLOOK DR,DEAN DR,56.0,81.5,62.74375,Very Good
REDWINE PKWY,REDWINE PKWY,EAST END,64.0,83.9,65.29975,Very Good
MARTIN LUTHER KING JR DR,WHITEHOUSE DR,NEWCASTLE ST,49.0,60.29,60.07562801,Fair
SPRING ST,NASSAU ST,POPLAR ST,48.0,51.53,62.84775597,Fair
CONIFER CIR,CONIFER CIR,CONIFER CIR,55.0,73.3,51.83775,Good
KINGS CIR,BRANCH AVE,VIRGINIA PL,51.0,85.99,67.2909975,Very Good
DEKALB AVE,OXFORD PL,GORDON AVE,56.0,52.795,67.77180849,Fair
ANDOVER DR,BROADLAND RD,NORTHSIDE DR,58.0,34.2,81.92994451,Marginal
BLUEFIELD DR,GRAYMONT DR,WYLAND DR,52.0,68.56,73.0259846,Good
DODSON DR,HEAD RD,WOODLAND TER,46.0,74.37,76.0227379,Good
BERNICE ST,SOUTH END,GLENWOOD AVE,52.0,42.6,55.33622795,Marginal
CHERRY LAUREL LN,BONNYBROOK DR,CHINABERRY WAY,42.0,73.945,65.45611942,Good
DUTCH VALLEY RD,WEST END,PARKVIEW LN,48.0,44.0,75.8904126,Marginal
MOUNT GILEAD RD,VALLEY RIDGE DR,CREIGHTON RD,66.0,77.995,69.43918808,Very Good
MAIN ST NW,COOK ST NW,HOLLYWOOD RD NW,55.0,83.1,85.32056722,Very Good
COLEMAN ST,FLETCHER ST,DELEVAN ST,57.0,55.06,49.95406621,Marginal
FAIRBURN RD,HILL ACRES RD,MOUNT GILEAD RD,52.0,74.8,79.53040112,Very Good
FAIRBURN RD,HILL ACRES RD,MOUNT GILEAD RD,52.0,74.8,79.53040112,Very Good
NORTH HIGHLAND AVE,LANIER BLVD,VIRGINIA AVE,40.0,65.21,61.85537609,Fair
HIGHLAND TER,HIGHLAND TER,HIGHLAND TER,55.0,83.545,64.93982437,Very Good
GRAVES ST,FOUNDRY ST,SPENCER ST,50.0,63.67,63.09123521,Fair
NORTH STRATFORD RD,SOUTH END,LONGLEAF DR,37.0,34.505,46.32581642,Poor
TINSLEY WAY,SAVILLE ST,TINSELY WAY,63.0,75.67,66.04097652,Good
BOOTH ST,EARNEST ST,HUFF RD,43.0,51.23,53.84511203,Marginal
BEECHER CT,BEECHER CT,BEECHER CT,61.0,71.92,63.60597647,Good
MCDANIEL ST,FULTON ST,I-20,40.0,74.72,53.96704,Good
AMSTERDAM AVE,NORTH HIGHLAND AVE,HUMPHRIES ST,66.0,77.095,65.30263828,Good
MCLENDON AVE,ELMIRA PL,CANDLER ST,50.0,52.665,67.32731347,Fair
LAKE AVE,BROWNING ST,PORTER DR,51.0,75.28,63.17154233,Good
HARROGATE DR NW,GLEN DEVON DR NW,DEAD END,55.0,49.07,69.59180278,Fair
GRANT ST,MCDONOUGH BLVD,ELVIRA ST,43.0,46.735,61.11411334,Marginal
NELSON ST,MANGUM ST,NELSON ST,64.0,68.84,84.98553579,Good
EAST LAKE DR,ROSECLAIR DR,COLGAN CT,42.0,51.895,61.65513632,Fair
GREENWOOD AVE,FREDERICA ST,NORTH HIGHLAND AVE,61.0,81.4,62.631,Very Good
MCLENDON AVE,CLIFTON RD,NELMS AVE,60.0,60.77,61.91716012,Fair
